sub_id,source,platform,n_trials,n_congruent,n_incongruent,congruent_accuracy,congruent_omission_rate,congruent_rt,incongruent_accuracy,incongruent_omission_rate,incongruent_rt,stroop_effect,lag1_autocorr,post_error_slowing_ms
s272,human,human,96,48,48,0.8541666666666666,0.08333333333333333,799.0243902439024,0.8541666666666666,0.0625,907.8536585365854,108.82926829268297,0.45498390909832237,-37.598901098901024
s273,human,human,96,48,48,1.0,0.0,755.3958333333334,0.9791666666666666,0.0,891.9148936170212,136.51906028368785,0.15972789876634708,499.436170212766
s274,human,human,96,48,48,1.0,0.0,551.5208333333334,1.0,0.0,619.6458333333334,68.125,0.01684081683560293,
s275,human,human,96,48,48,0.8125,0.020833333333333332,703.0,0.8958333333333334,0.0,879.1627906976744,176.16279069767438,0.050477047425928435,13.475308641975289
s276,human,human,96,48,48,0.9791666666666666,0.0,584.2553191489362,0.9791666666666666,0.0,652.9574468085107,68.70212765957444,0.24748829355096444,154.68085106382978
s277,human,human,96,48,48,0.9791666666666666,0.0,467.93617021276594,0.8333333333333334,0.0,636.1,168.16382978723408,0.22374317092585738,-39.312661498707996
s278,human,human,96,48,48,1.0,0.0,539.9166666666666,0.8958333333333334,0.0,593.8604651162791,53.94379844961247,0.0458314946434371,55.27777777777783
s279,human,human,96,48,48,0.9583333333333334,0.020833333333333332,792.1739130434783,0.8541666666666666,0.0625,933.4878048780488,141.31389183457054,0.049304757896248115,80.89999999999998
s280,human,human,96,48,48,1.0,0.0,725.1666666666666,0.9583333333333334,0.0,818.5217391304348,93.35507246376812,0.003413402441652425,75.81182795698919
s282,human,human,96,48,48,0.875,0.0,588.7142857142857,0.5625,0.020833333333333332,681.3333333333334,92.6190476190477,0.12137251298633993,82.19529411764711
s283,human,human,96,48,48,1.0,0.0,715.3333333333334,0.9583333333333334,0.0,880.5652173913044,165.231884057971,0.18547568205727333,-90.68279569892468
s284,human,human,96,48,48,0.9375,0.0625,746.3777777777777,0.9166666666666666,0.041666666666666664,926.6818181818181,180.3040404040404,-0.03799138844987788,-97.60240963855426
s285,human,human,96,48,48,1.0,0.0,867.0833333333334,0.9583333333333334,0.020833333333333332,1074.2608695652175,207.17753623188412,-0.023256428971593905,320.77173913043475
s286,human,human,96,48,48,0.9791666666666666,0.0,772.6595744680851,0.9375,0.0,874.4888888888889,101.82931442080383,0.12547977248365455,-5.879120879120933
s288,human,human,96,48,48,1.0,0.0,486.0208333333333,0.8333333333333334,0.0,513.6,27.57916666666671,0.23259102503864945,60.008620689655174
s289,human,human,96,48,48,0.8333333333333334,0.08333333333333333,675.875,0.7291666666666666,0.10416666666666667,763.3714285714286,87.49642857142862,0.34041967340304774,70.25252525252529
s290,human,human,96,48,48,1.0,0.0,537.4791666666666,0.8333333333333334,0.020833333333333332,666.675,129.19583333333333,0.2436681579111405,21.450166112956822
s291,human,human,96,48,48,0.9583333333333334,0.020833333333333332,749.8260869565217,1.0,0.0,772.3125,22.48641304347825,0.2655882733393214,-63.72826086956525
s292,human,human,96,48,48,0.9791666666666666,0.0,581.8297872340426,0.9583333333333334,0.0,756.9130434782609,175.08325624421832,0.2916059646595611,109.00724637681162
s293,human,human,96,48,48,1.0,0.0,577.1666666666666,1.0,0.0,669.5833333333334,92.41666666666674,0.09345792443863771,
s294,human,human,96,48,48,1.0,0.0,597.6458333333334,0.9375,0.020833333333333332,741.2444444444444,143.59861111111104,0.10073349623726319,142.50549450549454
s295,human,human,96,48,48,0.14583333333333334,0.8541666666666666,747.5714285714286,0.14583333333333334,0.8333333333333334,950.1428571428571,202.57142857142856,0.9027733980431252,115.91666666666663
s296,human,human,96,48,48,1.0,0.0,736.7083333333334,0.9791666666666666,0.0,887.3191489361702,150.61081560283685,0.26708343608612184,-166.97872340425533
s297,human,human,96,48,48,0.9791666666666666,0.0,619.6808510638298,0.9791666666666666,0.0,768.063829787234,148.38297872340422,0.1326778118521498,249.247311827957
s298,human,human,96,48,48,1.0,0.0,625.8958333333334,0.8958333333333334,0.020833333333333332,826.0232558139535,200.1274224806201,0.014613846715848977,4.514044943820181
s299,human,human,96,48,48,0.8958333333333334,0.0625,708.3023255813954,0.8125,0.0,801.6410256410256,93.33870005963024,-0.2552270810988505,11.00759493670887
s301,human,human,96,48,48,0.9791666666666666,0.0,497.93617021276594,0.9583333333333334,0.0,550.5869565217391,52.65078630897318,0.08761586344666132,174.28623188405788
s302,human,human,96,48,48,1.0,0.0,657.5833333333334,0.9166666666666666,0.020833333333333332,818.5454545454545,160.96212121212113,0.017194132961276254,404.97777777777765
s303,human,human,96,48,48,0.8958333333333334,0.020833333333333332,776.7441860465116,0.875,0.0,958.4761904761905,181.7320044296789,0.12109953304248212,39.25662650602408
s304,human,human,96,48,48,1.0,0.0,824.7083333333334,0.9583333333333334,0.020833333333333332,929.195652173913,104.48731884057963,0.24210614272311892,11.25
s305,human,human,96,48,48,1.0,0.0,585.0208333333334,0.9583333333333334,0.0,733.9782608695652,148.95742753623188,0.2530943131331393,123.72580645161293
s307,human,human,96,48,48,0.9791666666666666,0.0,505.6595744680851,1.0,0.0,609.0416666666666,103.38209219858152,0.16324074287666138,485.2127659574468
s308,human,human,96,48,48,0.9791666666666666,0.0,578.7234042553191,0.9166666666666666,0.0,736.2045454545455,157.48114119922639,0.0523088025552658,88.61111111111109
s309,human,human,96,48,48,0.9791666666666666,0.020833333333333332,648.7446808510638,1.0,0.0,746.5208333333334,97.7761524822696,-0.03078366604261662,
s311,human,human,96,48,48,0.9791666666666666,0.0,591.7446808510638,1.0,0.0,598.0,6.255319148936223,0.0465881733528662,-100.79787234042556
s312,human,human,96,48,48,1.0,0.0,666.375,1.0,0.0,744.1875,77.8125,0.1430936616150168,
s313,human,human,96,48,48,1.0,0.0,886.3541666666666,0.9583333333333334,0.0,975.8913043478261,89.53713768115949,-0.08083279008046397,-26.27956989247309
s314,human,human,96,48,48,0.9375,0.041666666666666664,762.3555555555556,0.875,0.020833333333333332,909.1904761904761,146.83492063492054,-0.09863096919799769,126.62857142857149
s315,human,human,96,48,48,1.0,0.0,578.1875,0.8958333333333334,0.0,806.7674418604652,228.57994186046517,0.21290144951483447,89.01373626373629
s316,human,human,96,48,48,1.0,0.0,700.3333333333334,1.0,0.0,804.0416666666666,103.70833333333326,0.05673386855410143,
s317,human,human,96,48,48,0.9791666666666666,0.0,638.7234042553191,0.8541666666666666,0.020833333333333332,725.8048780487804,87.08147379346133,0.00836503573111607,87.75747508305642
s319,human,human,96,48,48,1.0,0.0,807.9583333333334,0.9791666666666666,0.0,1009.7446808510638,201.7863475177304,0.02064247036653059,-134.67021276595744
s320,human,human,96,48,48,0.9375,0.0,643.8888888888889,0.9375,0.0,706.1555555555556,62.26666666666665,0.1889267842803733,-52.511235955056236
s321,human,human,96,48,48,0.8333333333333334,0.041666666666666664,531.9,0.9375,0.020833333333333332,580.1333333333333,48.23333333333335,0.1515914252732401,44.97560975609758
s322,human,human,96,48,48,0.9791666666666666,0.020833333333333332,729.8723404255319,0.9583333333333334,0.020833333333333332,935.2826086956521,205.41026827012024,-0.13761859697194273,-54.21111111111111
s323,human,human,96,48,48,1.0,0.0,666.125,1.0,0.0,790.5416666666666,124.41666666666663,-0.02806497266526622,
s324,human,human,96,48,48,1.0,0.0,840.7916666666666,1.0,0.0,871.8541666666666,31.0625,-0.014716131145452494,
s325,human,human,96,48,48,0.9583333333333334,0.020833333333333332,712.6521739130435,1.0,0.0,906.4166666666666,193.76449275362313,-0.04776176283166328,111.10869565217388
s326,human,human,96,48,48,0.9583333333333334,0.041666666666666664,868.304347826087,0.9583333333333334,0.041666666666666664,952.304347826087,84.0,-0.037787483819825954,
s327,human,human,96,48,48,0.9166666666666666,0.020833333333333332,573.2727272727273,0.9791666666666666,0.0,633.3404255319149,60.06769825918764,-0.06546463863092643,41.344444444444434
s328,human,human,96,48,48,0.9791666666666666,0.020833333333333332,691.4042553191489,0.9375,0.020833333333333332,803.3555555555556,111.95130023640672,-0.141394948754266,57.86516853932585
s329,human,human,96,48,48,1.0,0.0,627.4583333333334,0.8333333333333334,0.0,849.0,221.54166666666663,0.1884723908870946,-31.244252873563255
s330,human,human,96,48,48,0.9791666666666666,0.020833333333333332,703.936170212766,0.8958333333333334,0.020833333333333332,903.3023255813954,199.3661553686294,0.04120224303002699,185.22727272727275
