sub_id,source,platform,n_trials,n_go,n_stop,go_accuracy,go_omission_rate,go_rt,go_rt_all_responses,mean_stop_failure_RT,stop_accuracy,max_SSD,mean_SSD,min_SSD,final_SSD,ssrt,lag1_autocorr,post_error_slowing_ms,stop_acc_in_band
s123,human,human,600,420,180,0.8666666666666667,0.03571428571428571,515.2802197802198,512.2740740740741,448.22222222222223,0.46111111111111114,500.0,235.55555555555554,0.0,200.0,279.72466422466425,-0.01421296082211971,-0.9101341051946292,True
s124,human,human,600,420,180,0.9785714285714285,0.009523809523809525,692.8369829683699,691.9783653846154,882.0,0.48333333333333334,550.0,366.6666666666667,200.0,400.0,326.17031630170317,-0.016708457519656356,31.396527777777692,True
s125,human,human,600,420,180,0.9833333333333333,0.004761904761904762,589.36803874092,589.3492822966507,553.0,0.4888888888888889,450.0,282.22222222222223,100.0,300.0,307.1458165186978,-0.08585702646109059,37.28189044839155,True
s126,human,human,600,420,180,0.9904761904761905,0.0,572.5961538461538,573.8880952380953,,0.4888888888888889,400.0,282.22222222222223,100.0,300.0,290.3739316239316,-0.014787721767226694,16.53665413533838,True
s127,human,human,600,420,180,0.8166666666666667,0.05,610.4577259475219,613.3233082706766,535.8333333333334,0.43333333333333335,500.0,247.22222222222223,0.0,300.0,363.2355037252997,0.043528401096812594,-14.11895424836598,True
s128,human,human,600,420,180,0.9261904761904762,0.0,527.2776349614396,523.6809523809524,448.77777777777777,0.4444444444444444,450.0,212.77777777777777,0.0,300.0,314.49985718366185,-0.04361113495790037,35.63671951458207,True
s129,human,human,600,420,180,0.9214285714285714,0.004761904761904762,563.8914728682171,563.7033492822967,479.4,0.4888888888888889,450.0,252.22222222222223,0.0,200.0,311.66925064599485,-0.029078521711235226,16.297436957420416,True
s130,human,human,600,420,180,0.8857142857142857,0.004761904761904762,479.78225806451616,472.47846889952154,358.375,0.5222222222222223,600.0,186.94444444444446,0.0,300.0,292.8378136200717,0.005902818926667196,20.45854172150564,True
s131,human,human,600,420,180,0.9761904761904762,0.0,627.8487804878049,626.2952380952381,596.0,0.5166666666666667,600.0,248.61111111111111,0.0,600.0,379.2376693766938,-0.05975637283342578,55.23288290138419,True
s132,human,human,600,420,180,0.9642857142857143,0.009523809523809525,677.8691358024691,677.9399038461538,693.0,0.4777777777777778,550.0,369.44444444444446,200.0,400.0,308.4246913580247,-0.04477230817119202,39.416818226263786,True
s133,human,human,600,420,180,0.9785714285714285,0.0,640.3552311435523,639.7380952380952,393.5,0.4722222222222222,550.0,358.8888888888889,100.0,500.0,281.46634225466335,0.03240185297303169,-16.632459207459306,True
s134,human,human,600,420,180,0.8714285714285714,0.02857142857142857,596.9699453551913,602.3602941176471,654.5,0.43333333333333335,500.0,297.77777777777777,0.0,100.0,299.1921675774135,-0.05323859380938347,18.41467351430674,True
s135,human,human,600,420,180,0.719047619047619,0.18571428571428572,700.9172185430464,688.3040935672515,715.5,0.4111111111111111,850.0,369.44444444444446,0.0,200.0,331.4727740986019,0.04279573518804949,35.12421566349053,True
s136,human,human,600,420,180,0.9952380952380953,0.0,688.5502392344498,689.7333333333333,,0.4722222222222222,650.0,418.8888888888889,200.0,500.0,269.6613503455609,0.024457379654864577,-23.92463137142147,True
s138,human,human,600,420,180,0.9619047619047619,0.007142857142857143,508.269801980198,510.4796163069544,487.5,0.4777777777777778,450.0,236.66666666666666,50.0,200.0,271.6031353135313,0.026819663468042133,-23.583862159147714,True
s139,human,human,600,420,180,0.9523809523809523,0.01904761904761905,677.75,676.0388349514564,603.0,0.4777777777777778,650.0,403.3333333333333,150.0,500.0,274.4166666666667,0.018804510474276157,11.025383542538293,True
s140,human,human,600,420,180,0.9285714285714286,0.002380952380952381,551.151282051282,554.6610978520287,495.6666666666667,0.4777777777777778,450.0,307.77777777777777,150.0,400.0,243.37350427350424,-0.029298669891833464,22.96706802511062,True
s141,human,human,600,420,180,0.8452380952380952,0.0,601.7126760563381,602.5333333333333,563.7777777777778,0.45555555555555555,400.0,251.11111111111111,100.0,100.0,350.601564945227,0.02111517720798373,-4.220767296663553,True
s142,human,human,600,420,180,0.9452380952380952,0.0,596.2745591939547,597.6404761904762,668.6666666666666,0.5,550.0,277.22222222222223,0.0,400.0,319.0523369717325,-0.03662103341195603,29.752218392490533,True
s143,human,human,600,420,180,0.8023809523809524,0.07857142857142857,526.8516320474778,522.4677002583979,504.875,0.7555555555555555,400.0,37.22222222222222,0.0,0.0,489.62940982525555,0.010937323984108018,24.921896409975318,False
s144,human,human,600,420,180,0.919047619047619,0.0,433.0699481865285,428.93095238095236,375.1,0.45555555555555555,550.0,206.11111111111111,0.0,250.0,226.9588370754174,-0.05299825508519431,18.248296671208834,True
